Date,V,ADBE,LLY,COST,MRK,ABBV,PG,AMZN,MSFT,AMD,NVDA,HD,XOM,CVX,JPM,TSLA,GOOGL,META,GOOG,AVGO,UNH,MA,AAPL,JNJ,CRM
2021-01-01,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,-7.565960573965417e-07,-1.3446382509537636e-06,2.578241951272787e-06,-1.4899700871649297e-06,3.2530315889755524e-07,8.31525563602255e-07,-3.333695091649778e-07,-3.1271002270381344e-08,-1.8838388223425796e-08,-6.844191465186212e-08,-2.975244399859868e-08,9.71409831028485e-07,7.093823891464778e-07,1.2082639633059006e-06,4.872402503831416e-07,2.0667587541350146e-07,8.112853145863072e-08,-1.0400652807260499e-07,1.0444296752448946e-07,4.255070243589666e-06,2.28980351963443e-07,-1.5716188111150113e-06,-1.3452660229769316e-08,4.430289229722728e-07,-2.078164520364089e-07
2021-01-21,-3.1260753499568304e-07,-8.515275665766988e-07,3.937120464808141e-06,-1.388798689128498e-06,1.5110404361145725e-07,8.76709708020278e-07,-3.902772455923229e-07,1.312783116905677e-08,7.823442570695056e-08,-1.2315462318392445e-07,-1.1251844251145595e-08,8.863826382951747e-07,6.204376503555203e-07,1.1026605251110563e-06,5.124083240646021e-07,2.037745333014908e-07,1.2543481648232606e-07,-5.1109799946741905e-08,1.683577475253644e-07,5.3641599932555815e-06,5.76838342812854e-07,-7.08685620851644e-07,7.463320045208363e-09,3.730284028370604e-07,8.792497759157854e-08
2021-01-22,-5.401107589650629e-07,4.422673008867664e-07,2.6605812127617685e-06,-9.19705065251633e-07,-1.610698085031359e-07,9.931340183373453e-07,-7.450990442502071e-07,5.442063979864806e-08,1.951498055095821e-07,2.4500412185831567e-08,2.9406770502151164e-07,9.755698468208502e-07,2.7012943526930074e-07,2.3679396866507189e-07,1.859083897565347e-07,1.912522614675647e-07,1.5964268309311765e-07,1.742287456043147e-07,2.1773202141643758e-07,6.172612111986772e-06,-3.169550766199707e-07,-1.0824170097472632e-06,6.751644592896109e-08,1.743560029889435e-07,4.104252925974959e-07
2021-01-23,-7.537025422000608e-07,-4.377490874440601e-07,3.966196408978607e-06,-7.792240428994108e-07,-3.8340744142176057e-07,7.499848691032819e-07,-8.849043115580318e-07,7.288217026950964e-08,1.163003375042635e-07,-3.493310211099963e-08,1.1188472924682803e-07,1.4799654912994305e-06,2.361410830503802e-07,2.1428429175216948e-07,-1.1836796027799091e-07,6.228971029206775e-08,2.0348014304816206e-07,9.762864524535654e-08,2.5026798515340193e-07,3.0024113002000075e-06,-1.8524043689386531e-06,-1.550783053675174e-06,5.43876934519937e-08,2.4369171908988933e-07,3.5084343860201677e-07
2021-01-24,-8.5200808204076e-07,-1.0297801772805522e-06,3.895503858596503e-06,-1.0535141091535067e-06,-2.616306136430735e-07,6.453956336143527e-07,-8.792837209381953e-07,6.097697833986177e-08,9.552516211393876e-08,-2.6545853244944357e-08,1.3297349440548068e-07,1.2307911179627156e-06,1.8626778458871643e-07,9.137069921951049e-08,-1.2676466845702806e-07,-6.300882368619959e-08,1.6091880606790176e-07,1.1797274512865601e-07,2.040930757984484e-07,2.6765114648377255e-06,-1.686186377832824e-06,-1.8264389779242983e-06,4.644591209428239e-08,2.695351964572812e-07,1.6491910527576736e-07
2021-01-25,-8.5200808204076e-07,-1.0297801772805522e-06,3.895503858596503e-06,-1.0535141091535067e-06,-2.616306136430735e-07,6.453956336143527e-07,-8.792837209381953e-07,6.097697833986177e-08,9.552516211393876e-08,-2.6545853244944357e-08,1.3297349440548068e-07,1.2307911179627156e-06,1.8626778458871643e-07,9.137069921951049e-08,-1.2676466845702806e-07,-6.300882368619959e-08,1.6091880606790176e-07,1.1797274512865601e-07,2.040930757984484e-07,2.6765114648377255e-06,-1.686186377832824e-06,-1.8264389779242983e-06,4.644591209428239e-08,2.695351964572812e-07,1.6491910527576736e-07
2021-01-26,-3.483060256220286e-07,-8.910909922851151e-07,4.6326651492990046e-06,-7.963489206090854e-07,-2.273864047968014e-07,4.346145789716828e-07,-4.895592964130523e-07,4.6629586614925434e-08,1.3611026943362482e-07,-8.63712649849178e-09,1.1292904604531473e-07,1.4760044354399672e-06,1.2000489925883717e-07,-2.5701457797533917e-08,-2.0173590346700266e-07,7.175966314868653e-10,1.0605295231717054e-07,2.04420994221137e-07,1.3234158642603112e-07,2.9248496096806407e-06,-1.7106528535136058e-06,-1.1136768459517916e-06,5.222788991686213e-08,3.739847031735617e-07,2.1275158542403123e-07
2021-01-27,-5.320628003790046e-07,1.82033665097398e-07,2.1817003079638377e-06,1.474690226390101e-07,-7.212231898005729e-07,-3.6328801897233453e-08,-5.758226333960687e-07,1.1513504387082102e-07,1.3877071126568417e-07,-4.393382127262395e-08,-8.338370492389229e-08,1.695660621178744e-06,-8.637024913501012e-08,-3.124010010179213e-07,-4.144668720032237e-07,1.2772606126250162e-07,2.7446597424558064e-07,5.066402795541265e-07,3.244133747241742e-07,3.782089890885176e-06,-1.9816887336834143e-06,-1.6806316736611855e-06,1.1173790043704675e-07,4.907325716441333e-07,7.309501246504399e-07
2021-01-28,-4.828778940437153e-07,-6.887270475087768e-07,2.186817904557049e-06,-6.871396428033216e-07,-4.4639449689270085e-07,-5.356100017207641e-07,-5.843107188208198e-07,3.8418675049449155e-08,1.1966209720201808e-07,-9.322526436348137e-08,-1.1325250322970044e-07,-1.9024671933258435e-07,-1.6303609475257668e-07,-5.410177413216524e-07,-5.007254122488964e-07,2.113253477695356e-08,5.685733823400234e-08,2.3718124100161967e-07,8.774916589276369e-08,-4.774843021975594e-07,-1.4299320104437488e-06,-1.0737719336777514e-06,7.309534780440232e-08,4.339890583242727e-07,5.622989320570555e-07
